cluster,gene,p_val_adj,p_val,avg_log2FC,pct.1,pct.2
2,Vpreb1,1.8991831365226133e-113,1.2679817976516312e-117,9.326155049958277,0.686,0.305
2,Cdk15,1.5768420517848652e-196,1.0527721002703066e-200,9.569207758419523,0.137,0.105
2,Ephx3,1.848211786995072e-141,1.2339509861096757e-145,9.644306807036365,0.027,0.058
2,Fcna,1.3882213379624497e-143,9.268402576862397e-148,-18.683119002195443,0.016,0.077
2,Ackr4,1.1000444605809056e-196,7.344401526111001e-201,-18.742871060535645,0.447,0.152
2,Cd209g,4.0392594938108385e-140,2.696794961817892e-144,-18.780161557182986,0.015,0.064
2,Acod1,5.4451480213833236e-170,3.635430645869491e-174,-19.04122929231358,0.708,0.3
2,Krt8,1.7099658092714797e-274,1.1416516285695553e-278,-19.134617479209,0.675,0.201
2,Atp8a2,2.4327562097758795e-185,1.6242196620215512e-189,-19.89315178338886,0.172,0.088
2,Fads6,5.7432484098855364e-226,3.8344561422656806e-230,-20.45297869055011,0.481,0.106
2,Mgl2,3.406220181167836e-179,2.274148872458163e-183,-20.989693539589123,0.024,0.061
2,Ccr2,5.902033512478807e-102,3.940468361916682e-106,-21.95130574206981,0.05,0.083
2,Rassf9,6.574568654461025e-15,4.389483679036604e-19,-22.11403529422055,0.088,0.135
3,Fgf1,6.547751134086499e-74,4.371579072029977e-78,10.027885614173965,0.249,0.231
3,Alad,5.966051059982954e-90,3.9832094137955363e-94,10.06103280195154,0.342,0.217
3,Tmem98,6.27318562227725e-116,4.1882665391088595e-120,10.120327799730779,0.336,0.181
3,Pard6b,2.374850110244726e-257,1.5855588932065203e-261,10.142916990935086,0.436,0.117
3,Fxyd3,9.100560748567875e-189,6.075951895158148e-193,10.763176055366863,0.76,0.246
3,Cldn10,5.649933260904867e-221,3.772154667448836e-225,11.231261649609303,0.619,0.141
3,Adgrb2,4.179663162707372e-279,2.7905348929812873e-283,11.27004129708117,0.692,0.172
3,Slc23a3,2.1451186885507264e-196,1.432179655862416e-200,11.344671053337537,0.128,0.093
3,Cyp2s1,5.729629767064319e-255,3.8253637114863927e-259,12.056489839166586,0.629,0.162
3,Amhr2,7.177799595071295e-258,4.792228331600544e-262,13.355130162779322,0.321,0.101
3,Areg,1.1510216322975e-149,7.684748513135933e-154,-18.333921843607307,0.68,0.252
3,Dll4,5.37958230245493e-110,3.591655963716737e-114,-18.432088506040145,0.107,0.094
3,Lat2,7.000114715064422e-93,4.6735977534146227e-97,-18.6273986883755,0.027,0.123
3,Cxcl9,1.8332104875322618e-172,1.2239354303193095e-176,-18.92092159514952,0.003,0.066
3,Coro1a,2.0210597511056375e-64,1.349352217322498e-68,-19.01508432823204,0.012,0.122
3,Cdkn2a,1.9963885597088558e-153,1.3328805980163277e-157,-19.573567138401586,0.711,0.268
3,Cd79b,5.258668637032514e-106,3.5109284530862024e-110,-19.66765751530522,0.02,0.108
3,Lcp1,4.2175177200652495e-68,2.8158083322641537e-72,-20.167145830200784,0.015,0.123
3,Cd37,5.753353601497832e-97,3.841202831818555e-101,-20.33132288678206,0.009,0.107
3,Cyyr1,1.4542270053294768e-90,9.709086696017338e-95,-20.426528380104905,0.005,0.107
4,Rassf9,1.218640628083402e-6,8.136203953020443e-11,-16.391098342773326,0.008,0.139
4,Igf2,1.1590420585903806e-4,7.738296558888908e-9,-16.555147928703015,0.024,0.17
4,Plvap,2.1252105647985775e-14,1.4188880790483225e-18,-16.807010926572108,0.03,0.162
4,Nts,0.19956255632311296,1.3323711865610425e-5,-16.825664511108684,0.081,0.152
4,Fmod,0.7562419437995341,5.049018185335386e-5,-17.048407683711766,0.009,0.094
4,Ecscr,0.09454100944466798,6.31199155058539e-6,-17.437036595797686,0.016,0.149
4,Gng11,1.2096884447839129e-75,8.076435069995412e-80,-17.516327501926853,0.041,0.232
4,Pdgfrl,1.6244267822316555e-12,1.0845418495337532e-16,-18.45714479091651,0.05,0.142
4,Csf3r,4.035510153457279e-78,2.694291730175777e-82,18.922147287428466,0.496,0.034
4,Cd300ld,0,0,18.990180673924918,0.806,0.034
4,Ms4a8a,7.973254766737027e-256,5.3233107001849555e-260,19.248387764272948,0.599,0.006
4,Cd300lb,2.9682659901681085e-172,1.981750560934777e-176,19.281398525597563,0.622,0.041
4,Fcgr3,0,0,19.401972768088722,0.899,0.011
4,Gm36161,3.1245570188355554e-139,2.0860976224032282e-143,19.964441710534174,0.587,0.014
4,Tlr8,3.114440115750368e-224,2.0793431137337215e-228,19.97063172392093,0.608,0.002
4,Trem3,1.1246961621169921e-71,7.508987595920631e-76,20.111721525159492,0.254,0.025
4,Cygb,6.773052449948465e-6,4.522000567464592e-10,-22.06728585615992,0.033,0.138
4,Pdgfra,1,8.803225659203615e-4,-22.722615046278094,0.023,0.125
4,Ifitm6,7.422551335119201e-250,4.9556358226193094e-254,24.224752016830074,0.702,0.029
4,Tnip3,4.0368563035134785e-45,2.695190481715502e-49,26.902261707479937,0.341,0.023
5,Zwilch,2.8992657056496143e-24,1.9356828052140568e-28,6.3080951204430455,0.231,0.263
5,Pcdhgb2,3.5756748865096587e-4,2.3872846084321397e-8,6.426575537008813,0.333,0.199
5,Lmntd1,3.678268945000613e-80,2.455781108960217e-84,6.633056099936523,0.167,0.097
5,Trnp1,3.469353654307381e-15,2.3162996757293237e-19,6.904743615262481,0.233,0.146
5,Gcnt4,2.817783790588463e-17,1.88128174027805e-21,6.960636372593417,0.261,0.156
5,Shd,1.7308879505207692e-10,1.155620209988496e-14,7.023174137666106,0.305,0.107
5,4933429H19Rik,1.1409836400950151e-9,7.617730271698592e-14,7.378200332785018,0.293,0.236
5,A530046M15Rik,0.0032453386897967366,2.166737007475455e-7,7.4998077749946175,0.326,0.156
5,3930402G23Rik,8.928306154444438e-7,5.960946824972919e-11,7.626124286925005,0.324,0.166
5,Pmel,7.40873134650234e-117,4.946408964148979e-121,7.729667728781494,0.095,0.129
5,Ncf2,6.015662604396965e-133,4.016332357054991e-137,-18.677250746794662,0.026,0.11
5,Cd209d,4.1515063452591903e-119,2.771736109800501e-123,-18.690622872175037,0.005,0.082
5,Gm4070,4.696191952875604e-131,3.135393211961279e-135,-18.710419810905357,0.001,0.139
5,Sh2d3c,3.4334829020899315e-160,2.2923507157764264e-164,-18.97334406072479,0.006,0.122
5,Dcn,4.533462780431186e-154,3.0267477503212616e-158,-19.03646946142059,0.012,0.207
5,Ighm,9.992967768981262e-71,6.671763766177903e-75,-19.19126310101717,0.04,0.155
5,Rgl1,2.663493936812615e-117,1.778270754982384e-121,-19.37858662346426,0.065,0.163
5,Mmrn1,9.675570803231072e-70,6.459854989471941e-74,-20.605703549913557,0.034,0.213
5,Cp,5.762144495814049e-86,3.8470720361957867e-90,-20.842641757121463,0.09,0.168
5,mt-Nd3,0.14054511699833627,9.383436840588615e-6,-22.94305427735967,0.133,0.321
6,Lsamp,7.834297247307515e-164,5.230536284755985e-168,9.52115780147722,0.698,0.076
6,Pdgfrl,9.86628108505268e-90,6.587181923522954e-94,9.617189369411943,0.638,0.116
6,Serpinh1,1.2315596186924643e-293,8.222457061640168e-298,9.634094071182274,0.89,0.328
6,Shisa3,7.559182485285804e-98,5.046857047193086e-102,9.652884744097571,0.617,0.114
6,Aebp1,2.4889005018049327e-253,1.6617041673153509e-257,9.686762313219512,0.834,0.327
6,Prcd,1.194457495389404e-41,7.974746263782907e-46,9.721539128025142,0.54,0.117
6,Penk,2.1470865579881364e-274,1.4334934957859103e-278,9.85871552278273,0.801,0.074
6,Mlana,1.3518536365777708e-88,9.025595116689616e-93,10.200493403323982,0.584,0.048
6,Prr16,4.218120448722153e-23,2.81621074156907e-27,10.665701544937008,0.262,0.08
6,Olfml3,0,0,11.793979039451148,0.838,0.044
6,Cyyr1,1.960095224028279e-8,1.3086495019550533e-12,-17.977058048252385,0.01,0.105
6,Mkrn1,1.1052941319806909e-14,7.379450740958011e-19,-18.25348491692845,0.167,0.226
6,Slpi,1,4.1707007305065457e-4,-18.441794796073353,0.041,0.261
6,Cd209d,3.529567670083567e-5,2.3565013153181784e-9,-18.536491386797206,0.016,0.082
6,Mmp9,6.573318900728241e-9,4.388649286105115e-13,-18.57236843507596,0.003,0.086
6,Rasgrp3,5.673750175542835e-17,3.788055932396071e-21,-18.661751602661056,0.01,0.106
6,Flt4,2.938802104438425e-32,1.9620791190001503e-36,-19.027696135012604,0.01,0.098
6,Tnip3,1.1262895573737365e-10,7.519625833714358e-15,-19.14094568785699,0.008,0.04
6,Bpgm,9.244030799695884e-13,6.17173908378681e-17,-20.986816043270842,0.054,0.146
6,Kif26a,9.909401474087808e-12,6.615971073633201e-16,-28.503082845743734,0.005,0.118
7,Cxcl9,0,0,11.427814423497738,0.847,0.03
7,Slc1a1,1.395356869823846e-196,9.316042661395687e-201,11.48839804087739,0.7,0.057
7,Tgtp1,8.776561388149624e-132,5.859635056849796e-136,11.605204085897547,0.621,0.1
7,Zfp366,9.485285306760484e-182,6.3328116616106845e-186,11.86358296005018,0.715,0.063
7,Myo10,0,0,11.966409956122218,0.94,0.106
7,Rtp3,4.1527905159614236e-249,2.7725934810798663e-253,12.076549385775706,0.737,0.056
7,Nepn,1.2560559203070373e-124,8.38600561027532e-129,12.562184817694686,0.621,0.043
7,Slc26a10,6.857767054836765e-59,4.5785599244470326e-63,13.07499181353367,0.546,0.066
7,Car4,0,0,13.164369767851056,0.931,0.017
7,Gm12002,0,0,13.549075716349506,0.84,0.038
7,Spon1,0.6532467166457838,4.3613747940030965e-5,-16.09551445021552,0.008,0.119
7,Cd55,1,0.0018443764495760808,-16.444086885347247,0.057,0.203
7,Cldn10,6.71733170782371e-14,4.484798843519636e-18,-16.778696412282663,0.003,0.173
7,Ecrg4,1,1.189016918555445e-4,-16.879604661241217,0.019,0.091
7,Col12a1,3.4761114514139375e-12,2.320811491129615e-16,-16.930186487428838,0.005,0.114
7,C3ar1,0.028000917697264358,1.8694697354295872e-6,-17.126928599759022,0.005,0.05
7,Cd3d,1,0.0030181851254012892,-17.25187226481308,0.013,0.041
7,Has2,0.0016729533970187796,1.1169404439970488e-7,-17.287568277283995,0.001,0.075
7,Pla1a,1.7063425988396698e-27,1.1392326070501201e-31,-17.316115256953466,0.012,0.064
7,Cfp,0.05077936646282475,3.3902634839647982e-6,-19.987738267698226,0.021,0.086
8,St13,1.9567033691217672e-38,1.3063849439990434e-42,6.704107620746515,0.045,0.35
8,1110032A03Rik,4.637983720180605e-4,3.096530725184006e-8,6.724191072123418,0.037,0.237
8,Ptchd4,4.659156765858214e-35,3.1106668219109455e-39,6.903419671012845,0.003,0.118
8,Cd9,3.1489677482433006e-101,2.102395345335359e-105,7.058732488731832,0.068,0.41
8,AK157302,4.8156229687190714e-234,3.215130837708019e-238,7.255881802775063,0.698,0.166
8,Hacl1,1.0767895698926914e-34,7.18914120638731e-39,7.657406588132121,0.179,0.185
8,Ywhah,3.443692040822756e-21,2.299166805196125e-25,9.055494061017441,0.062,0.345
8,Lsm12,1,1.1100369225527332e-4,9.16047013355012,0.058,0.302
8,Tmem40,1.4969657352561798e-80,9.994430065804379e-85,9.619542957351095,0.013,0.064
8,Tmsb4x,8.118382956346361e-230,5.42020493814018e-234,10.252827107637492,0.045,0.454
8,Il7r,6.718863565888454e-87,4.485821582246264e-91,-19.1559643098043,0.091,0.083
8,Flt1,5.494262132579413e-5,3.668221479890114e-9,-19.310171558947843,0.018,0.156
8,H2-Oa,7.73761484707072e-78,5.16598667850896e-82,-19.341315460418144,0.163,0.115
8,Cgnl1,0.35367112638538323,2.3612707062717536e-5,-19.395430130134425,0.016,0.221
8,Mpeg1,5.848325535796543e-69,3.90461045252807e-73,-19.474786691136273,0.001,0.074
8,Gfpt2,1.1789389132145233e-59,7.871137089160925e-64,-19.593918011759794,0.008,0.096
8,Dusp2,2.0806114443045176e-72,1.3891116599709692e-76,-19.690384459888875,0.074,0.116
8,Rflnb,4.418175697540218e-21,2.949776804339844e-25,-19.81793776523324,0.012,0.152
8,Fndc1,6.756733436668477e-32,4.5111052454723447e-36,-20.37226467931958,0.009,0.147
8,Bcl2a1b,2.4841819505351088e-71,1.6585538459975354e-75,-23.113133834332082,0.013,0.089
9,Cd79b,0,0,11.254535250563922,0.975,0.069
9,Mzb1,0,0,11.417499419438672,0.896,0.162
9,Xkrx,1.7475270434589793e-124,1.1667292318460271e-128,11.463498871744614,0.733,0.153
9,E330020D12Rik,0,0,11.65036046532479,0.945,0.092
9,Gm31243,0,0,12.353608125535832,0.914,0.056
9,Zbtb32,0,0,12.354771159212026,0.902,0.187
9,Gm15228,0,0,12.913023776669448,0.884,0.192
9,Fcer2a,2.1970801945127197e-120,1.4668715412690078e-124,12.914040489210409,0.743,0.05
9,Tnfrsf13c,0,0,13.742312920786691,0.903,0.057
9,Il5ra,0,0,13.908278038501756,0.914,0.005
9,Dact2,1,0.003941469422922154,-17.893716084158378,0.001,0.082
9,Bmx,1.4441870589380277e-120,9.642055407517878e-125,-17.969021435235696,0.033,0.099
9,Tgfbr2,1.919331702999114e-56,1.2814339050601644e-60,-18.10388024349944,0.219,0.256
9,Psap,1.6145509198384804e-51,1.0779482706893312e-55,-18.134581172491878,0.112,0.353
9,Rab7b,1.705023817021476e-82,1.13835212780176e-86,-18.35251381762989,0.185,0.133
9,Podn,0.06316346028919746,4.217082406809818e-6,-18.373445125106585,0.01,0.119
9,Ear2,1.8904145779115474e-54,1.262127505615935e-58,-18.550945430011375,0.227,0.068
9,Ces2g,0.8865104071348374,5.918750214546918e-5,-18.712953747282388,0.014,0.151
9,Ltb4r1,1.0939536299650905e-21,7.303736346408669e-26,-19.25014926209962,0.27,0.065
9,Itga6,9.969978513764595e-23,6.65641508463386e-27,-19.54070062144504,0.058,0.111
10,Aco2,2.5571165570666256e-11,1.7072483356033019e-15,9.712186896300967,0.267,0.32
10,Agpat2,1.46325010582347e-136,9.76932905477013e-141,9.92323812106033,0.585,0.188
10,Acly,8.318435858693426e-83,5.553769434299256e-87,10.361559020907055,0.603,0.286
10,Tkt,1.286973963179366e-50,8.592428649882268e-55,10.362246090506705,0.506,0.318
10,Etfb,4.113464779040482e-38,2.74633781482206e-42,10.578848907799827,0.453,0.325
10,Aldoa,2.1763612911795833e-24,1.4530386508075733e-28,10.806980321189029,0.475,0.368
10,Mpc1,1.9244031833498083e-23,1.2848198580249754e-27,10.878151716943416,0.399,0.352
10,Plin1,9.020036644025751e-132,6.022190308469589e-136,11.046812325656079,0.644,0.135
10,Slc25a1,1.1069669161245547e-135,7.390619015386264e-140,11.070948262514058,0.65,0.208
10,Angptl8,4.302621425298776e-100,2.872627470489235e-104,11.518301294953929,0.422,0.103
10,Ncf1,3.564048113821962e-123,2.379522041542237e-127,-19.463607559983302,0.003,0.081
10,Hist1h2ae,1.9956488081754869e-97,1.3323867059523881e-101,-19.585066493859433,0.683,0.278
10,Csf1r,2.547523096717506e-191,1.7008433013202737e-195,-19.711062516831383,0.04,0.059
10,Map4k1,4.4441752851423546e-120,2.967135321900357e-124,-19.836140117398017,0.05,0.083
10,Clec4d,4.162312147097243e-157,2.7789505588845257e-161,-20.03299393509309,0.05,0.054
10,Tmem100,1.0894024675745967e-106,7.273350698187987e-111,-20.892324677105506,0.021,0.096
10,Pbk,9.618190535744733e-164,6.42154529025553e-168,-20.92161003085104,0.509,0.148
10,Csf2,2.3890601150197234e-165,1.5950461443582076e-169,-21.65506684073229,0.73,0.213
10,Slc26a3,1.1432062608473774e-139,7.632569507593654e-144,-22.288979480069152,0.65,0.205
10,Aspm,6.448723069808443e-109,4.3054633928484734e-113,-22.621000908428762,0.191,0.152
11,Sod1,1.1706507942858236e-15,7.815801804552168e-20,7.835499343688574,0.384,0.346
11,Mapkap1,7.140623889252584e-24,4.7674081247513585e-28,7.959950325295683,0.273,0.257
11,Cltb,2.8085244323442107e-25,1.8750997678890444e-29,7.97251990210962,0.396,0.319
11,Ankrd46,9.359689644283955e-28,6.248958234933873e-32,7.973335122152749,0.32,0.238
11,Pgrmc1,0.001888617993523492,1.2609280234500548e-7,8.0922994987853,0.246,0.343
11,Maco1,1,0.008506856602892642,8.174895712352388,0.071,0.278
11,Hexdc,1.9087799653432678e-120,1.2743890808808037e-124,8.233711237618289,0.506,0.199
11,Smarca2,0.26115236021814464,1.7435729751511862e-5,8.484435630053548,0.224,0.316
11,Dnal4,1.91308001436682e-33,1.2772599908978634e-37,8.962113096675356,0.266,0.212
11,Ski,1.951722151630885e-8,1.3030592546607591e-12,9.77834865634749,0.273,0.334
11,Slc26a3,2.4442936438967483e-136,1.6319225823853306e-140,-20.13831591656935,0.609,0.207
11,Krt8,1.7159487980982114e-174,1.1456461464135474e-178,-20.3171606835788,0.76,0.212
11,Areg,2.222124900059121e-138,1.4835925357585266e-142,-20.823000858101075,0.758,0.257
11,Cfp,3.786651158038068e-114,2.5281420470276863e-118,-20.97605294665293,0.006,0.086
11,Dmkn,1.988911891777674e-185,1.327888831471274e-189,-21.033491368860577,0.65,0.168
11,F10,1.2774949477033221e-136,8.529142393532662e-141,-21.522413851510933,0.68,0.226
11,Kif2c,9.698839353622725e-116,6.475390141289041e-120,-22.158935146111148,0.06,0.08
11,Klrb1a,4.386951250264639e-168,2.928929930741514e-172,-22.592526262425064,0.538,0.149
11,Ighd,5.952102136645454e-115,3.9738964725901016e-119,-23.41513325670934,0.063,0.087
11,Cyp2s1,1.5353849406435132e-169,1.0250934307941737e-173,-24.932403311949024,0.592,0.172
12,Ppp2r2b,2.6486755654972656e-21,1.7683773304161208e-25,10.731554433457774,0.535,0.061
12,Pla1a,8.884080946940353e-282,5.931420047363034e-286,10.735355805306984,0.936,0.036
12,Aif1l,9.721906853481963e-195,6.490791062546377e-199,10.772127461633172,0.834,0.047
12,Duox1,1,0.006457777939323705,10.806160134132712,0.385,0.065
12,Ugp2,4.2277195516795494e-184,2.82261954311627e-188,10.966141062638634,0.868,0.285
12,4930404H11Rik,1.0724261598326045e-44,7.160009078866367e-49,11.002876254696352,0.597,0.068
12,Has2,4.6891162360584605e-151,3.130669138775845e-155,11.397840757487796,0.774,0.051
12,Clic6,4.345323281162899e-9,2.9011371886519554e-13,11.759734360699825,0.51,0.101
12,Adamts16,3.0312367649004705e-96,2.0237927392845978e-100,12.591577713788576,0.695,0.039
12,Gm45187,1.1133027394316002e-6,7.432919878699427e-11,12.65332213384729,0.49,0.122
12,Cd209d,8.013971623015454e-45,5.350495141551244e-49,-17.283284109989193,0.021,0.081
12,Ptafr,1.1512542121327269e-8,7.686301322824989e-13,-17.79531552092062,0.012,0.062
12,Lyz2,4.678261584908357e-50,3.1234220756498575e-54,-17.86237534093301,0.052,0.132
12,Itga6,1.8052616513566807e-66,1.2052755049784221e-70,-17.90943063819578,0.005,0.112
12,Mgl2,1.6087922312914565e-49,1.0741035060031088e-53,-18.338694632126554,0.007,0.06
12,Arhgap31,2.853015617879326e-24,1.904804124635683e-28,-18.571054553261526,0.111,0.177
12,Il1b,1.2585243532355133e-36,8.402486001038278e-41,-19.223533519060467,0.012,0.087
12,Ighm,1.931998029616371e-52,1.2898905258488255e-56,-20.82130333711299,0.057,0.153
12,Ltb,1.235473049284504e-20,8.248584919779036e-25,-21.140843882638507,0.011,0.072
12,Cd37,4.864879955913898e-69,3.2480170623006393e-73,-21.856345994255836,0.007,0.105
13,Six2,1.3964999528055607e-39,9.32367440783523e-44,10.59179468927501,0.59,0.132
13,Serpina1e,8.733954576733427e-7,5.83118879472121e-11,10.75001606655046,0.502,0.047
13,Frmd5,4.083204585094555e-52,2.7261347209871513e-56,11.005008243937295,0.621,0.131
13,Dnah2os,1.1707569737883049e-94,7.816510707626552e-99,11.309053788011449,0.67,0.069
13,Atp2b2,3.9066505890311355e-14,2.6082591728075415e-18,11.365985531126125,0.54,0.085
13,Gdf6,3.7293199799371396e-54,2.4898651221372278e-58,11.493882154640692,0.588,0.249
13,Ocln,1.8467892518636138e-116,1.2330012363891133e-120,11.69984923625505,0.72,0.099
13,Irf6,4.073383880859321e-142,2.7195779682596615e-146,11.728190950395195,0.756,0.046
13,Ugt8a,4.175155698246208e-55,2.7875255029017276e-59,12.30603333946589,0.61,0.07
13,D130058E05Rik,4.072300796318523e-12,2.718854851327629e-16,15.142402710543287,0.314,0.128
13,Ly6d,2.2276376822655315e-30,1.4872731220894187e-34,-18.39094139050016,0.031,0.083
13,Batf3,0.033296837564366674,2.223049643768639e-6,-18.395382858871866,0.027,0.064
13,Cd300ld,6.34329562132237e-17,4.2350751911619506e-21,-18.48407862421412,0.002,0.076
13,Fbln7,6.805085989485413e-22,4.54338762817827e-26,-18.570977863195388,0.009,0.139
13,Ltb,1,0.008909797759904477,-18.654039986035677,0.011,0.072
13,Ednrb,8.866277264788027e-20,5.9195334923140784e-24,-18.82910404741116,0.009,0.102
13,C1qb,6.202085752080672e-11,4.140797003659148e-15,-18.88717114234116,0.038,0.085
13,Wfdc17,1,4.545326367179534e-4,-18.975075486408606,0.011,0.068
13,Lcp1,6.036271606679887e-28,4.030091872532973e-32,-19.689024605914625,0.022,0.12
13,Lilrb4a,3.315811303423891e-14,2.213787757660496e-18,-20.77452216088113,0.002,0.089
14,Sh2d1a,6.583643273763896e-78,4.3955423112324044e-82,13.279649282052768,0.697,0.051
14,Chdh,7.509771755966617e-121,5.013868177304458e-125,13.480676024896955,0.758,0.243
14,Il7r,9.134661535119707e-227,6.098719144825549e-231,13.917088321722929,0.921,0.063
14,Xlr4a,1,7.469364583954352e-5,14.442008246566788,0.38,0.066
14,Itk,1.5296571403807937e-96,1.0212692885437266e-100,14.93423870590001,0.76,0.028
14,Nsg2,2.0156275224935862e-32,1.3457254122670491e-36,15.81579208763065,0.598,0.169
14,Klre1,1.310130475770603e-232,8.747032152294052e-237,15.838787526584708,0.889,0.171
14,Ccdc184,1.2245535417897648e-180,8.175681277805881e-185,15.93332935764522,0.841,0.12
14,Cd96,1.2374080816187933e-145,8.261504083447678e-150,16.581521472070904,0.799,0.082
14,Csf1r,6.916557684808128e-74,4.617811246366757e-78,-16.937361754200076,0.017,0.059
14,Tcim,1,6.03894360758489e-4,-17.092075790946733,0.011,0.093
14,Abca8a,0.013740314538258898,9.173664399959205e-7,-17.683651894223512,0.02,0.114
14,Cybb,7.420106100597214e-11,4.9540032718635425e-15,-17.911445475281894,0.013,0.09
14,Eomes,4.7093290000132833e-122,3.144164107366326e-126,17.954956211744623,0.755,0.241
14,Tnfaip6,9.129329748563749e-5,6.095159399495092e-9,-18.567017873097548,0.009,0.102
14,Cd79a,1,0.003523894287747582,-18.802463447672967,0.044,0.073
14,Iglc3,1.4869288814632666e-6,9.927419424911648e-11,-18.9699963757865,0.044,0.074
14,mt-Nd3,8.108313138657852e-69,5.4134818658418025e-73,-19.11210886943862,0.05,0.319
14,Scarb1,1,2.1706147563361848e-4,-19.51033182698374,0.009,0.111
14,C1qa,2.8102660063832384e-7,1.8762625226220047e-11,-21.462131323208794,0.041,0.086
15,Snca,5.797778080749097e-271,3.870862652389569e-275,8.240209602112483,0.987,0.039
15,Slc25a37,1.3337093678326936e-193,8.904455653843594e-198,8.445804885073427,0.901,0.184
15,Tspo2,3.0525070571132465e-23,2.0379937622601457e-27,8.792300537038685,0.569,0.098
15,Isg20,4.0156540752513164e-182,2.6810349013562e-186,8.858755904316265,0.879,0.164
15,Prxl2a,1.6214848096231243e-13,1.0825776536407559e-17,8.971800552715688,0.519,0.168
15,Epb41,9.896342233507502e-213,6.60725212545567e-217,9.295220518883314,0.946,0.223
15,Mkrn1,1.1647817986542023e-267,7.776617696983592e-272,9.718863407311614,0.984,0.206
15,Tent5c,4.882362897367252e-244,3.259689476143178e-248,9.76374015305049,0.962,0.141
15,Ube2o,3.0747724559848404e-120,2.0528591640972363e-124,11.474333280874081,0.796,0.184
15,Hbq1b,9.208928501206341e-6,6.1483031787998e-10,15.081225073483987,0.483,0.056
15,Folr2,1,0.005122679614980833,-16.782947605570797,0.007,0.053
15,Ms4a1,1,0.009498411096351972,-16.870142461045063,0.02,0.094
15,Fcna,5.800030033217785e-25,3.8723661591786517e-29,-16.955171368924766,0.213,0.07
15,Pln,7.125466828683129e-13,4.757288575699779e-17,-17.07557673742157,0.004,0.086
