"","cluster","gene","avg_log2FC","p_val","pct.1","pct.2","p_val_adj"
"351","17","Il7",11.02,0,0.579,0.129,0
"352","17","Susd4",11,0,0.675,0.137,0
"353","17","Tnfaip8l3",10.93,0,0.743,0.11,0
"354","17","D830026I12Rik",10.85,0,0.761,0.181,0
"355","17","Gpr182",10.76,0,0.875,0.08,0
"356","17","Prox1",10.72,0,0.861,0.112,0
"357","17","Flt4",10.7,0,0.729,0.085,0
"358","17","Rassf10",10.69,0,0.529,0.106,0
"359","17","Ablim2",10.54,0,0.45,0.206,0.01
"360","17","Agr2",10.5,0,0.65,0.064,0
