"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Lsm12",-0.0930883150825963,10.2623194582042,-9.53008130026601,1.93745267108023e-21,2.25678820160772e-21,36.2991019520548
"Sfrp2",-0.108795909362311,10.2469670723779,-9.51402773645722,2.25804685482098e-21,2.62869249688124e-21,36.1194032723274
"Frzb",-0.0644220548796781,10.0710660130559,-9.5479184308047,1.63385855617334e-21,1.90426405148408e-21,36.0956345923215
"Pde4b",-0.087469622651323,10.2004938274251,-9.51281833215062,2.28422320302444e-21,2.65607349188889e-21,36.022655084616
"Zc3h7a",-0.104722928442746,10.2223031915251,-9.4968236992692,2.65999614434609e-21,3.09122155066367e-21,35.9140353397277
"Plxdc2",-0.133407486870565,10.5733389056618,-9.42056030123499,5.48000799394075e-21,6.35731785839995e-21,35.5837094298086
"Pim3",-0.0845063647402249,10.1738845468701,-9.46216292307648,3.69697328210848e-21,4.29132127929016e-21,35.4967275635071
"Rplp1",-0.0691409188109944,12.4713087383771,-9.39060369400771,7.26803750717653e-21,8.42671015324815e-21,35.4649512935513
"Rps8",-0.0748418006007974,12.362980704881,-9.38864185111182,7.40347185431691e-21,8.57876228773686e-21,35.4514973942096
"Grem2",-0.0728767490888131,10.0981825149705,-9.47161845093335,3.37983057064825e-21,3.92547104604907e-21,35.4336614946787
"Serinc3",-0.136869389995502,11.2020956883842,-9.37985515563608,8.04132982762845e-21,9.3124838768135e-21,35.3744643188488
"Pam",0.137372033739558,11.6857792033855,9.3768421957307,8.27233221911151e-21,9.57445858693462e-21,35.3609662248325
"Mecom",-0.0883517377795719,10.191658890572,-9.34926676376214,1.07158179883685e-20,1.2395393855834e-20,34.478809464149
"Pik3r1",-0.116951955386376,10.4051602529995,-9.30858456884974,1.56770702122761e-20,1.81133104705674e-20,34.4139876544187
"Crem",-0.0691027892644982,10.1090899110541,-9.34155937259094,1.15181768167229e-20,1.33158113488126e-20,34.246219408093
"Tmem64",-0.0822922173205232,10.1759983738571,-9.28658386855346,1.92458460097349e-20,2.22238406578924e-20,33.8668288893818
"Pde3a",0.143107003364889,11.0102570830389,9.2199841768072,3.5705738335081e-20,4.11830891984787e-20,33.8561083026888
"Nr4a1",-0.127627451897334,10.4329381097244,-9.24118901611729,2.93415190299546e-20,3.38621108251062e-20,33.8189920731284
"Rps13",-0.0888937746633687,12.0209987465946,-9.12997511767872,8.17579765608038e-20,9.42455061219641e-20,33.0904614525426
"AY036118",0.149142400559864,12.2061891592445,9.10450801274058,1.03208124342389e-19,1.18903369058051e-19,32.8536587090529
"Net1",0.13363178667395,10.5994578360006,9.04169928342043,1.82851866542701e-19,2.10537555029016e-19,32.1168080687282
"Clk1",-0.119179674475397,10.4319185732469,-8.99959721301633,2.67715044344189e-19,3.07895393150304e-19,31.637060110427
"Jag1",-0.085176140766837,10.1920730260555,-9.00836795274469,2.47309960312936e-19,2.84591438795094e-19,31.3801764952177
"Dmxl1",-0.0999545498759655,10.2971662735967,-8.91235371350889,5.8669035839195e-19,6.7435673378385e-19,30.70429800914
"Dbi",0.129726353282154,11.1454625960434,8.73814648580557,2.74945663431894e-18,3.15847976372078e-18,29.5915510582642
"Lrrc17",-0.0916078710822177,10.2792542680296,-8.73409637713528,2.84899551706227e-18,3.27094778078331e-18,29.1185274082375
"Crip1",-0.116268074516926,11.7596819579334,-8.67419288033645,4.81202505644298e-18,5.51837735830617e-18,29.0726366101091
"Palld",-0.115059156895946,10.4218227888823,-8.70439887856038,3.6959975758438e-18,4.2409610738311e-18,29.0318352553539
