"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Lck",-0.411748015523296,10.2686576589217,-64.5486316649285,0,0,1710.73790106601
"Ppp1r16b",-0.466120383372726,10.3105167480429,-64.4525802492846,0,0,1706.51046106074
"H2-DMb2",-0.504840505091844,10.337415625348,-64.4169580662067,0,0,1704.95234363106
"Gimap8",-0.449628582756175,10.294172832916,-64.3929035732151,0,0,1703.83782767532
"Cd69",-0.452491198640061,10.2949879266225,-64.3386926710978,0,0,1701.42786054183
"St8sia4",-0.530946912019871,10.349343158111,-64.1857518155282,0,0,1694.68443120976
"Skap1",-0.409572429003756,10.2695663705123,-64.0403803365109,0,0,1688.14257702033
"Map1b",0.973804626458803,11.3745079220315,63.9877464809851,0,0,1686.20509452444
"Sh3bp5",-0.554252187934129,10.3861165682804,-63.9388616748117,0,0,1683.75662154803
"Trac",-0.421037190119202,10.2739828637739,-63.8570152436325,0,0,1680.01330408955
"Bin2",-0.43197634710825,10.2894308400943,-63.8324290991896,0,0,1678.94111200011
"Cd52",-0.751693496443458,10.5420534845016,-63.818196394611,0,0,1678.49612539567
"Apobec3",-0.573799468673954,10.4044680927973,-63.7235290484112,0,0,1674.22544821017
"Gimap3",-0.469072920639768,10.3125436303229,-63.6978828079666,0,0,1673.00393910628
"Ms4a4b",-0.470351242576976,10.2974700762643,-63.6643979732225,0,0,1671.50536917748
"Arhgap30",-0.495503804087338,10.3295386957565,-63.4048785819571,0,0,1660.05315741599
"Gm12002",-0.413738780371979,10.2644068094535,-63.4060935257617,0,0,1660.03283979452
"Cd3e",-0.409414840323375,10.2678316061508,-63.2587339745815,0,0,1653.52464948002
"9930111J21Rik2",-0.547444802916296,10.3870293510154,-63.0510197738008,0,0,1644.47780095788
"Pou2f2",-0.5034363026957,10.3435569635536,-63.0497210412445,0,0,1644.37997989287
"Cmah",-0.475062016122074,10.31370288566,-63.0434722888449,0,0,1644.07430913912
"Unc45b",-0.512384192383282,10.3321348708322,-62.9875976164947,0,0,1641.62825367446
"Lat",-0.399966238172604,10.2651724806549,-62.9670875965043,0,0,1640.64800395115
"Tm4sf1",1.03529783261902,11.9633564204667,62.9484069001064,0,0,1640.27994599621
"Dock2",-0.512471981054416,10.350170405982,-62.7707831619327,0,0,1632.09086233563
"B4galnt1",-0.438415849713319,10.2963202152462,-62.7639552915589,0,0,1631.73453354795
"Ifi205",-0.405286378828164,10.2685773942168,-62.7405241665094,0,0,1630.66893524733
"Siglecg",-0.448021363657967,10.2968510436791,-62.7196423559876,0,0,1629.78414390733
"Tspan32",-0.442163282077173,10.2929204546683,-62.7141596224475,0,0,1629.53802952426
"Tcf7",-0.407468685113372,10.2678175120458,-62.6777015752316,0,0,1627.90238620735
"Gimap5",-0.451632849856781,10.3072609019842,-62.5333283307451,0,0,1621.59751881501
"Mndal",-0.597039185806823,10.4252484694531,-62.4234045617451,0,0,1616.87498764385
"Slc28a2",-0.473805369719345,10.3085709724078,-62.4250602760573,0,0,1616.83966938286
"Cd79b",-0.576532463753503,10.3875674746407,-62.3104154466014,0,0,1611.8781684524
"Cd3d",-0.445282177740738,10.2893475971351,-62.3011442101478,0,0,1611.37558760051
"Gpsm3",-0.478725302486898,10.3409209438252,-62.2963204392683,0,0,1611.21801186446
"Itk",-0.392383216659187,10.261492309945,-62.2610812335278,0,0,1609.58039590655
"Cd27",-0.388954772188789,10.2594330659037,-62.2497333063638,0,0,1609.07921654989
"Cd53",-0.561648631628637,10.4008455441345,-62.2235115866351,0,0,1608.07671483471
"Cd38",-0.511796402190685,10.343841768591,-62.1870558196248,0,0,1606.42511413652
"Bcl11b",-0.398603215945379,10.2647243105566,-62.1754504494957,0,0,1605.82720792985
"Cotl1",-0.576517432028457,10.4143203207776,-62.144594580564,0,0,1604.62542384294
"Trbc2",-0.46393094749447,10.3007747133863,-62.1180009429331,0,0,1603.35222553806
"Plau",-0.3829616372277,10.2568075653946,-61.9805256914367,0,0,1597.26941139661
"Sh2d3c",-0.432068162065313,10.2873014701745,-61.9741009811007,0,0,1597.02792089001
"Inpp5d",-0.471257419742338,10.3124491142137,-61.9433887563014,0,0,1595.71107810822
"Xdh",-0.572912146469299,10.3919668331547,-61.8664968563615,0,0,1592.4198225788
"Kbtbd11",-0.383895756665531,10.2575199654573,-61.8605657897769,0,0,1592.01638863288
"Shank3",-0.450263166773576,10.297866586895,-61.8268493497719,0,0,1590.59213209661
"Pam",0.905636759029266,11.4505040356821,61.7729303756072,0,0,1588.61847310957
"Cped1",0.884536459233367,11.3377311943489,61.7444734970527,0,0,1587.3654259015
"Cd84",-0.464672808646206,10.3110074963146,-61.748984852994,0,0,1587.19955938655
"Cd28",-0.392089531146278,10.2616962964734,-61.6746790344722,0,0,1583.8897810464
"Psmb8",-0.691831161701815,10.5844777122707,-61.5995157328876,0,0,1580.8727515152
"Npnt",0.91968718760034,11.2600583495553,61.569204902429,0,0,1579.69367065389
"Klhl6",-0.417204188990912,10.2847440858695,-61.5671630663796,0,0,1579.2197175557
"Itgal",-0.417533719898829,10.2804779980134,-61.5590405996369,0,0,1578.85998499554
"Epsti1",-0.461095069085939,10.3115671174599,-61.5476351534185,0,0,1578.39786221398
"Fcrla",-0.414728232138504,10.2846186040323,-61.4643274686154,0,0,1574.72845927153
"Txk",-0.395772414638129,10.2616013370797,-61.4538854743793,0,0,1574.24276136881
"Rasgef1b",-0.412082726277003,10.2808211275475,-61.3863044506,0,0,1571.31799287892
"Cd3g",-0.438859044093906,10.2909426894761,-61.385773557857,0,0,1571.30804860031
"Runx3",-0.3980918626154,10.2732592170386,-61.3337487709867,0,0,1569.014981145
"Klhl4",-0.375555570541509,10.2543112308889,-61.3272002304051,0,0,1568.70317744627
"March1",-0.431337543195522,10.2928932135875,-61.2915286041718,0,0,1567.19824739193
"Cytip",-0.533233064953762,10.3692339007931,-61.270360925498,0,0,1566.35364018158
"H2-Q4",-0.503487429832134,10.3585053224168,-61.2532622609494,0,0,1565.59895972982
"Prkcb",-0.444106624779474,10.3068012980896,-61.2242446303126,0,0,1564.2805436645
"Fgd5",-0.471198949134154,10.3206821084313,-61.2133789002086,0,0,1563.82174690476
"Pkib",-0.373815822872503,10.2553924952944,-61.1678311513791,0,0,1561.75668629693
"Lef1",-0.402109548589667,10.2652066881321,-61.1400978893573,0,0,1560.56304477506
"Rnase6",-0.418367831209874,10.2855810355903,-61.1295835026531,0,0,1560.13080879824
"Gmfg",-0.543515099792053,10.3985002991158,-61.1147112417621,0,0,1559.59710778658
"Pik3cd",-0.442225591619005,10.3018483434108,-61.0459133838741,0,0,1556.50634582554
"Gm30211",-0.387369019021662,10.25954587187,-61.0207498689495,0,0,1555.35779146987
"Evl",-0.453816410137463,10.3155501804562,-60.9546542742507,0,0,1552.5495932451
"Arhgap15",-0.481073073003754,10.3262790571367,-60.928151718137,0,0,1551.40779877157
"Hhex",-0.433486331630483,10.2984331300964,-60.899787320725,0,0,1550.14390702801
"Acp5",-0.413227493700301,10.2867180546456,-60.894791914147,0,0,1549.91253739688
"Pglyrp1",-0.396522623909055,10.2725534470595,-60.8649181103556,0,0,1548.59519298123
"Plcg2",-0.413860506828513,10.2871588262124,-60.8271513291533,0,0,1546.97170186791
"Sult5a1",-0.381047883774203,10.2586030455814,-60.8179222287646,0,0,1546.53344528405
"Gpr182",-0.377216589873957,10.2555720626261,-60.7987303197054,0,0,1545.69459802084
"Irf4",-0.406327437975758,10.2788225989715,-60.7872061864087,0,0,1545.22555093594
"Dpp4",-0.436211733080777,10.2938458339243,-60.7778424112025,0,0,1544.83748715269
"Col18a1",0.891512105337231,11.2703294869386,60.7504637392197,0,0,1544.02826481365
"Serpina3n",-0.379142739989094,10.2580929111831,-60.7505969573041,0,0,1543.60707531625
"Slfn2",-0.50530714732108,10.361746606046,-60.7381373004216,0,0,1543.18371170273
"Apbb1ip",-0.476048496677196,10.3442350399754,-60.6825696274474,0,0,1540.75316386046
"Samsn1",-0.406232792389847,10.2803072867922,-60.6370136955856,0,0,1538.70363990072
"Ggt5",-0.378220475372524,10.2545087416124,-60.5524276964652,0,0,1534.99810447459
"Hbb-bt",-1.94955001354047,10.607697327874,-60.532958147577,0,0,1534.44257733126
"Il2rb",-0.376157938479436,10.2552713280054,-60.5130202313353,0,0,1533.28986319118
"Rbpms",0.893107150694094,11.4637077846548,60.478895500341,0,0,1532.25997554352
"Blnk",-0.429767149721348,10.2962145559669,-60.4878338494807,0,0,1532.25117473633
"Dtx1",-0.370523034310361,10.2538876119637,-60.4471222446754,0,0,1530.43020551293
"Ushbp1",-0.493395744424545,10.3201217976493,-60.3456664125898,0,0,1526.1156917924
"Nova1",-0.380446807205177,10.257759110286,-60.3062504972129,0,0,1524.33165870304
"Chd7",-0.426018993350741,10.288459959184,-60.3007705050327,0,0,1524.1352704928
"Tnfrsf18",-0.367719750633251,10.2538784582598,-60.2704418562718,0,0,1522.77535006962
"Lrmp",-0.407110687918843,10.2806330380511,-60.2524536531603,0,0,1522.03311067143
"Lfng",-0.413001525169189,10.2831001062103,-60.2473411652818,0,0,1521.81506387373
"Gbp9",-0.413651853791357,10.2813551317575,-60.2442618221275,0,0,1521.67946600886
"Tnfsf10",-0.443121541021309,10.3014800083345,-60.216464121012,0,0,1520.50093773379
"Tspan13",-0.601392429677212,10.4344114195658,-60.2007729255098,0,0,1519.94573669377
"Ms4a1",-0.556358436636957,10.375813867355,-60.160123720141,0,0,1518.13705595125
"Ezr",-0.524427593838016,10.3779901057444,-60.1147794857921,0,0,1516.18009976093
"Mrgprg",-0.417150240962364,10.2710246386139,-60.089680742985,0,0,1514.97999026173
"Cyp4b1",-0.474599237885609,10.3143106469831,-60.0694185240938,0,0,1514.15460959857
"Spock2",-0.368072067328331,10.2501202859235,-59.9525688312237,0,0,1509.02305277099
"Pou2af1",-0.432672755447323,10.2933404331333,-59.9484975424114,0,0,1508.90558361405
"Ptpn18",-0.590140950537771,10.4428903711539,-59.9235070537551,0,0,1507.96857058978
"Ccdc3",0.856256498037448,11.1768515980881,59.9166058740424,0,0,1507.90353131899
"Itpr2",-0.497662875593891,10.3494062244519,-59.888176855328,0,0,1506.36101858479
"Chst1",-0.367700597344527,10.25016212377,-59.8553536665682,0,0,1504.82504783768
"Robo4",-0.424787898357168,10.2834088140841,-59.8226402388096,0,0,1503.45922214777
"Arhgef15",-0.478031732299344,10.3234848242494,-59.7729624154687,0,0,1501.36168603931
"Pcdh17",-0.377801615145122,10.2531850057416,-59.7498651813137,0,0,1500.2781072984
"Prkch",-0.438527006842277,10.2994671286571,-59.7141276652414,0,0,1498.79768142751
"Ly6d",-0.598932220941162,10.4061760939813,-59.6417882287384,0,0,1495.78156374182
"Itga11",-0.366337616882275,10.2526917138579,-59.563106332159,0,0,1492.22751797538
"Lvrn",-0.36173602790055,10.249079784747,-59.5594995994479,0,0,1492.06677400952
"Nkg7",-0.389162717549777,10.2615695908281,-59.5476171058906,0,0,1491.57410202369
"Selplg",-0.449450485229484,10.311577300146,-59.5085490107903,0,0,1489.95388910187
"Lamb1",-0.442923598703509,10.2997301984583,-59.5041012909146,0,0,1489.74897863322
"Rspo1",-0.369318540915375,10.2525578029968,-59.5019494250866,0,0,1489.59394958122
"H2-Q7",-0.639139614580829,10.502834400576,-59.4738466336187,0,0,1488.6239513051
"Pde2a",-0.495970086868807,10.3347819093629,-59.4496390242582,0,0,1487.44242671521
"Cd79a",-0.618933707358526,10.4195256624526,-59.4389875253515,0,0,1487.05794984219
"Sema6a",-0.470429722355288,10.3206540917768,-59.4311782342184,0,0,1486.63342440624
