VolcanoPlot	Counts	Log2					
#Analysis Name	M-691_allSlides						
#Dataset Name	Q3 Norm						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"target after filtering, All Targets"	Lif	-1.080847297	3.22238568719236e-118	4.82648928227671e-114	117.4918225	113.3163687
	"target after filtering, All Targets"	Gm16933	-0.480156921	6.01419844218196e-118	9.00806642670013e-114	117.2208222	113.0453684
	"target after filtering, All Targets"	Blk	1.859265828	1.16925546439471e-117	1.75131083457039e-113	116.9320906	112.7566368
	"target after filtering, All Targets"	Pdlim3	-0.98388909	5.38873165716668e-117	8.07124227610425e-113	116.2685134	112.0930596
	"target after filtering, All Targets"	Gm12295	1.972256094	2.06569405474852e-116	3.09399655520234e-112	115.684934	111.5094802
	"target after filtering, All Targets"	Fhl3	-1.968044664	2.30961557854231e-116	3.45934221354068e-112	115.6364603	111.4610065
	All Targets	Susd5	-1.810235038	2.43375896385116e-116	3.64528417605627e-112	115.6137224	111.4382686
	"target after filtering, All Targets"	Gm47767	0.43665463	7.55628338822563e-116	1.13178012588844e-111	115.1216918	110.9462379
	"target after filtering, All Targets"	Actg2	-0.929993072	1.65756160324126e-115	2.48269576933476e-111	114.7805303	110.6050765
	"target after filtering, All Targets"	Proser3	-0.801646023	5.80563751218038e-115	8.69568386574377e-111	114.2361501	110.0606963
	All Targets	Pcdhgb5	-1.568742768	1.7194763469661e-114	2.57543167248582e-110	113.7646038	109.58915
	"target after filtering, All Targets"	Gm4841	-3.362688676	3.46379021082638e-114	5.18806497777574e-110	113.4604484	109.2849946
	All Targets	Dcn	-1.295707959	8.23556867780406e-114	1.23352347656149e-109	113.0843064	108.9088526
	"target after filtering, All Targets"	Gm16196	-7.405297442	8.82399562952112e-114	1.32165806538967e-109	113.0543347	108.8788809
	"target after filtering, All Targets"	A730020M07Rik	-5.411599438	8.85024300152744e-114	1.32558939676878e-109	113.0530448	108.877591
	"target after filtering, All Targets"	Popdc3	1.095607463	9.09313200289806e-114	1.36196931139407e-109	113.0412865	108.8658327
	"target after filtering, All Targets"	Gm47798	-0.271584718	3.12392804434678e-113	4.67901942482261e-109	112.505299	108.3298452
	All Targets	Pbxip1	0.311174247	5.39121921617834e-113	8.07496814199192e-109	112.268313	108.0928592
	"target after filtering, All Targets"	Gm15562	-0.998934379	8.0513115323396e-113	1.20592544131382e-108	112.0941334	107.9186795
	All Targets	Ppp1r14a	-1.449294439	1.12498748506986e-112	1.68500625513764e-108	111.9488523	107.7733985
	"target after filtering, All Targets"	Gm12701	-0.573404841	1.56821220877246e-112	2.34886824629939e-108	111.8045952	107.6291413
	"target after filtering, All Targets"	Ppp1r12a	0.299186338	2.53893292985952e-112	3.80281374234358e-108	111.5953488	107.4198949
	"target after filtering, All Targets"	Lin7b	-5.635334257	5.04676479539669e-112	7.55904431054517e-108	111.2969869	107.1215331
	"target after filtering, All Targets"	Gm15998	-1.533663245	1.7841455771602e-111	2.67229324547054e-107	110.7485697	106.5731159
	"target after filtering, All Targets"	Fibin	-0.61577005	2.62647159701033e-111	3.93392915800208e-107	110.5806273	106.4051735
	All Targets	Myb	-4.063740331	5.53738545429893e-111	8.29389593344894e-107	110.2566952	106.0812414
	"target after filtering, All Targets"	Gm43031	1.845300219	1.16960899399487e-110	1.75184035120552e-106	109.9319593	105.7565055
	"target after filtering, All Targets"	Gm9887	-3.107687882	2.7956471335202e-110	4.18732027658656e-106	109.5535176	105.3780638
	"target after filtering, All Targets"	Lef1	-0.931763218	7.55048305279492e-110	1.13091135164762e-105	109.1220253	104.9465714
	"target after filtering, All Targets"	Rcan2	-1.213602649	9.91127837023875e-110	1.48451127429436e-105	109.0038703	104.8284165
	"target after filtering, All Targets"	Serpina3c	-4.006290879	1.01067155678026e-109	1.51378385774547e-105	108.99539	104.8199361
	All Targets	Usp13	1.252048374	2.18435949806852e-109	3.27173365620703e-105	108.6606759	104.4852221
	"target after filtering, All Targets"	Efhc2	-1.173891201	2.20578003540012e-109	3.3038173370223e-105	108.6564378	104.480984
	"target after filtering, All Targets"	Dusp27	-0.257504309	6.06338948606695e-109	9.08174477223107e-105	108.2172845	104.0418307
	"target after filtering, All Targets"	6530409C15Rik	1.611231272	8.03968886319706e-109	1.20418459792966e-104	108.0947608	103.9193069
	"target after filtering, All Targets"	Gm45235	-2.564874535	8.45733479373533e-109	1.26673960540568e-104	108.0727665	103.8973127
	"target after filtering, All Targets"	Gm36287	1.298625259	1.03298745820509e-108	1.54720861489958e-104	107.985905	103.8104511
	"target after filtering, All Targets"	Gli1	-6.01895086	1.52668391610524e-108	2.28666716954242e-104	107.8162509	103.640797
	"target after filtering, All Targets"	Fam184b	-0.605069849	4.24039444963457e-108	6.35126280666265e-104	107.3725937	103.1971399
	"target after filtering, All Targets"	Mgp	0.778310466	4.69060297320592e-108	7.02558513326783e-104	107.3287713	103.1533175
	"target after filtering, All Targets"	Arhgef4	-0.374889177	6.89155831663252e-108	1.03221760466522e-103	107.1616826	102.9862287
	"target after filtering, All Targets"	Ppara	-2.889467279	7.58943440012592e-108	1.13674548445086e-103	107.1197906	102.9443368
	All Targets	Gm14508	-0.605304394	8.46387774023149e-108	1.26771960793187e-103	107.0724306	102.8969768
	"target after filtering, All Targets"	Sorl1	-3.179636706	1.57485948099381e-107	2.35882453063253e-103	106.8027582	102.6273044
	"target after filtering, All Targets"	4930565N06Rik	2.652626538	1.98928304824178e-107	2.97954814965653e-103	106.7013034	102.5258496
	"target after filtering, All Targets"	Actn1	-2.530814222	3.28288968279409e-107	4.91711216688899e-103	106.4837437	102.3082899
	"target after filtering, All Targets"	Prr16	-7.522273691	4.49983430596019e-107	6.73985182346717e-103	106.3468035	102.1713497
	"target after filtering, All Targets"	Adra1d	0.936916345	5.03555680191758e-107	7.54225697791215e-103	106.2979525	102.1224987
	All Targets	E130006D01Rik	-1.116741421	6.01315965873012e-107	9.00651053684598e-103	106.2208973	102.0454434
	"target after filtering, All Targets"	Gm13889	0.71352167	6.57445047718599e-107	9.84721192472918e-103	106.1821405	102.0066867
	"target after filtering, All Targets"	Six2	-8.325152143	9.31518222192554e-107	1.39522799320001e-102	106.0308086	101.8553548
	"target after filtering, All Targets"	Sh3bgr	-2.599224034	1.30272466680256e-106	1.95122100593688e-102	105.8851474	101.7096935
	"target after filtering, All Targets"	Gm20554	-0.813514161	3.4603047770158e-106	5.18284449501427e-102	105.4608856	101.2854318
	"target after filtering, All Targets"	Grm3	-4.034881835	4.21657272178986e-106	6.31558262269686e-102	105.3750404	101.1995866
	"target after filtering, All Targets"	Tmem201	-0.38601361	6.53965722700132e-106	9.79509859460258e-102	105.184445	101.0089912
	"target after filtering, All Targets"	Bend7	1.533851523	6.833532773472e-106	1.02352653881064e-101	105.1653547	100.9899009
	"target after filtering, All Targets"	Gm33104	-5.525640548	7.50533203352589e-106	1.12414863198151e-101	105.1246301	100.9491763
	"target after filtering, All Targets"	2700046G09Rik	-0.403566554	9.03448205250239e-106	1.35318472182381e-101	105.0440967	100.8686429
	All Targets	9130019P16Rik	-2.648789723	2.03907927643411e-105	3.054132940243e-101	104.6905659	100.5151121
	"target after filtering, All Targets"	Gm15133	-0.31629883	2.12824029711823e-105	3.18767831702368e-101	104.6719793	100.4965255
	"target after filtering, All Targets"	Mief2	-1.563423663	1.21562596921478e-104	1.8207645766899e-100	103.9152	99.7397462
	"target after filtering, All Targets"	Tmem253	-0.840348471	1.22895811679041e-104	1.84073346732868e-100	103.9104629	99.73500909
	"target after filtering, All Targets"	Artn	-2.88314091	1.47868637559114e-104	2.21477645336041e-100	103.8301239	99.6546701
	"target after filtering, All Targets"	Rnf207	-0.464329463	2.95018552986064e-104	4.41878788662526e-100	103.5301507	99.35469685
	"target after filtering, All Targets"	Acta2	-2.708321456	5.04485137763182e-104	7.55617839341694e-100	103.2971516	99.1216978
	"target after filtering, All Targets"	Miip	-1.267932205	5.917936364728e-104	8.86388508708959e-100	103.2278297	99.05237588
	"target after filtering, All Targets"	Map1b	-0.843953291	1.47184717682508e-103	2.2045327014486e-99	102.8321373	98.65668345
	"target after filtering, All Targets"	Fastkd1	-1.196294846	2.74388289652317e-103	4.1097878024124e-99	102.5616344	98.3861806
	"target after filtering, All Targets"	Ccn3	-1.819232851	3.63395747634673e-103	5.44294150807213e-99	102.4396202	98.26416633
	"target after filtering, All Targets"	Mfsd2b	-0.637640873	1.17604161261742e-102	1.76147512737837e-98	101.9295773	97.75412348
