"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Simc1",2.15771704381222e-20,-1.25869142943819,0.344,0.236,3.23182858822194e-16
"Gars",1.26916407210265e-10,1.25861965597821,0.093,0.236,1.90095394719535e-06
"Crkl",6.13219315623073e-08,1.25828166183184,0.3,0.219,0.000918479890940239
"Gabpa",9.70963872541173e-05,-1.25819684525457,0.191,0.305,1
"Gm15672",5.50138175864383e-37,1.25739068800075,0.293,0.094,8.23996959809673e-33
"Rita1",4.15410415685864e-30,1.25695318903168,0.257,0.099,6.22201720614287e-26
"Pum2",0.0231374991400542,1.25691148014982,0.281,0.379,1
"Peli1",0.0548061236775746,-1.25683959382904,0.368,0.352,1
"St6gal1",0.00950159106208335,1.25675400859909,0.218,0.258,1
"Actr3b",2.9363915644047e-17,1.25669057828549,0.139,0.059,4.39812728516535e-13
"Vps35",3.11725150872869e-06,-1.25665484632331,0.202,0.421,0.0466901930977383
"Stx6",6.7626644753901e-63,1.25548269919313,0.123,0.45,1.01291188512393e-58
"Aldh3a2",1.00620872638429e-12,1.25461942701388,0.151,0.259,1.50709943037839e-08
"Adam4",1.13749331549356e-07,-1.25342046888566,0.387,0.388,0.00170373748794625
"Psmd12",2.25920777388922e-08,1.25334321676317,0.15,0.27,0.000338384140373127
"Zbtb33",0.484433800527923,-1.25285632232573,0.208,0.218,1
"4933421O10Rik",5.6919474520871e-12,-1.25271368688105,0.217,0.104,8.52539889373606e-08
"Pi15",2.67933322126225e-194,-1.25252485041927,0.487,0.046,4.0131052988066e-190
