"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Aspm",1.38341017472759e-07,-9.93114853377562,0.121,0.241,0.00207207175970699
"Rasd1",3.07970767806271e-22,9.92724045722188,0.134,0.026,4.61278616020233e-18
"Gdpd3",9.93223994444344e-51,-9.92189428769763,0.16,0.46,1.48765089887874e-46
"Serpinb8",2.73423502335488e-146,-9.9171699333958,0.132,0.659,4.09533721798094e-142
"Cep295nl",4.83209593410493e-23,-9.91653035398119,0.146,0.076,7.23751329010236e-19
"Arrdc4",8.98862111985566e-143,-9.91060478198777,0.076,0.565,1.34631567133198e-138
"D830025C05Rik",6.83250749772682e-59,-9.90972621180823,0.443,0.622,1.02337297300952e-54
"Gmnn",1.37892166077661e-75,-9.90519845476029,0.061,0.422,2.06534886351121e-71
"Fendrr",5.10653838394026e-110,9.90305641222564,0.543,0.11,7.64857319146572e-106
"Saa3",1.83172369115701e-12,-9.90266325273776,0.469,0.466,2.74355574461497e-08
"Tigd4",0.032969958396097,-9.90179333683891,0.277,0.275,1
"Mkrn1",4.44162222400313e-64,-9.89549841300316,0.08,0.444,6.65266176711189e-60
"Tacc3",8.13686403512082e-07,-9.89177510501261,0.325,0.277,0.012187394951804
"Apbb1ip",2.6636765161164e-244,-9.89116416156167,0.04,0.609,3.98965468583914e-240
"Dnm1",2.49970654231053e-33,-9.88964135898346,0.094,0.309,3.74406045907272e-29
"Ly96",3.17466627650934e-206,-9.8883109009223,0.032,0.548,4.7550151489557e-202
"Carns1",7.03195592575024e-92,9.88334709739849,0.367,0.055,1.05324635855887e-87
"Kdm6b",1.1664994343541e-69,-9.87563924621049,0.103,0.457,1.74718285277557e-65
"Fcgr2b",0,-9.8730800624402,0.018,0.822,0
"Tuft1",1.81393989893544e-70,-9.86602754754177,0.076,0.372,2.71691918062551e-66
"Btbd19",1.8954754371114e-19,-9.85853922804465,0.143,0.323,2.83904310970546e-15
"Lysmd2",1.5375168612553e-10,9.85691215223593,0.11,0.045,2.30289275478819e-06
"Nme4",7.91530812795883e-124,-9.85366157582857,0.027,0.444,1.18555485140567e-119
"Gm14636",3.4350442302796e-24,-9.84524701874973,0.35,0.439,5.14500924811279e-20
"Ppfia4",4.13381460366257e-55,-9.83783833956905,0.394,0.462,6.1916275133658e-51
"Gpr132",8.10992186450718e-172,-9.83624735655921,0.012,0.457,1.21470409686589e-167
"Pkmyt1",2.28255600638368e-93,-9.82723365326897,0.091,0.384,3.41881238636148e-89
"Tnfaip3",3.45076625624926e-146,-9.82604538243692,0.046,0.486,5.16855769861015e-142
"Klf4",1.31905914690694e-57,-9.82588159176606,0.116,0.441,1.97568679023721e-53
"Rab32",5.60667974381014e-63,-9.81773957166459,0.066,0.364,8.39768492027882e-59
"Dnase2a",0,-9.81126817696694,0.025,0.705,0
"Ang",4.41070922277022e-47,-9.81020049110195,0.102,0.318,6.60636027386523e-43
"Arhgap9",2.03348973269381e-184,-9.80017395574454,0.123,0.667,3.04576092162879e-180
"Dand5",4.42105570815992e-44,-9.79767371311413,0.05,0.27,6.62185723968193e-40
"Nrep",1.46569714327487e-14,9.78818707679356,0.119,0.049,2.1953211811971e-10
"Fgf13",1.23927301764434e-82,9.78350394671468,0.227,0.014,1.8561831258277e-78
"Nuf2",1.71601469791405e-51,-9.77510917408232,0.071,0.312,2.57024681453566e-47
"Adap2os",1.12311903234613e-127,-9.7714847317728,0.217,0.625,1.68220768664803e-123
"Tnfsf13b",9.95373070691138e-80,-9.77144494558422,0.046,0.346,1.49086978528119e-75
"Rassf2",0,-9.77083123782923,0.019,0.756,0
"Ccnd1",2.00478907391915e-156,-9.76687381215965,0.054,0.487,3.0027730749161e-152
"Stk10",2.59890929029485e-127,-9.76577986901363,0.084,0.546,3.89264633500363e-123
"Tbc1d4",3.23661815081123e-123,-9.75353501232051,0.164,0.628,4.84780666628506e-119
"Gm15902",4.68730483323017e-38,-9.7531859057504,0.043,0.225,7.02064517921216e-34
"Lockd",8.67989618165697e-29,-9.75312544616615,0.057,0.246,1.30007485008858e-24
"Slpi",4.42550402307644e-45,-9.75031054297468,0.184,0.363,6.62851992576389e-41
"Gm15655",1.26192667576855e-42,-9.748773548161,0.195,0.482,1.89011377496614e-38
"Fgd3",4.46995264652096e-200,-9.74655332386831,0.025,0.547,6.69509507395909e-196
"Rtl5",9.86512938844534e-37,-9.74422777340508,0.402,0.504,1.47759907980134e-32
"Slc18a2",3.72279351348924e-14,-9.74079533342639,0.155,0.152,5.57600012450419e-10
"Atp10a",2.08409132949935e-48,9.73667649856574,0.198,0.046,3.12155199332413e-44
"Litaf",5.9258609781124e-230,-9.73460474324927,0.059,0.672,8.87575457301675e-226
"H2-Ab1",0,-9.72017471619187,0.076,0.842,0
"Ckap2",1.20405561328974e-102,-9.71618706922226,0.012,0.33,1.80343449758537e-98
"A230077H06Rik",2.52349052361929e-66,9.71602092638699,0.61,0.173,3.77968410627698e-62
"Cd37",4.01074681860993e-269,-9.71171279210313,0.043,0.689,6.00729658491396e-265
"Gltp",4.52623862850893e-217,-9.69347370176112,0.065,0.691,6.77940021778067e-213
"Irgc1",2.03288913952927e-35,-9.69128288988786,0.006,0.128,3.04486135318693e-31
"Nek2",1.01828497825614e-104,-9.69034802110853,0.125,0.502,1.52518724043205e-100
"Pitpnc1",4.68374858504354e-123,-9.69009551657834,0.023,0.409,7.01531863067821e-119
"Crybb1",1.43767630201532e-73,-9.67955407245818,0.094,0.404,2.15335156515854e-69
"Xlr4b",1.7550491316372e-30,-9.66488547857176,0.079,0.244,2.6287125893662e-26
"Mreg",0.000185785281658515,-9.66446366742457,0.21,0.177,1
"Ppt1",1.6981546903459e-20,-9.66373585157705,0.147,0.355,2.54349609520008e-16
"Sowahc",9.06889122456516e-63,-9.65690447904389,0.152,0.467,1.35833852761537e-58
"Tram2",6.53104484960415e-27,9.65347247873943,0.16,0.056,9.78219897573709e-23
"Themis",1.12453075474335e-22,9.64248954511831,0.118,0.233,1.68432216445459e-18
"Aurkb",1.65776846599751e-101,-9.63451499871693,0.008,0.325,2.48300560837107e-97
"A530013C23Rik",8.9282542442804e-17,-9.62961621423391,0.253,0.436,1.33727392070832e-12
"Cmip",2.63558760184489e-217,-9.62166881294371,0.025,0.558,3.94758311004328e-213
"Gm10848",3.5416824474669e-124,9.61816580510189,0.393,0.043,5.30473196981592e-120
"Egr2",3.65587786537107e-77,-9.61398967038264,0.085,0.416,5.47577386675279e-73
"Nalcn",8.70652481077335e-226,9.61325132002866,0.607,0.066,1.30406328615763e-221
"Nr1d1",4.980284579566e-31,9.61291833247938,0.21,0.097,7.45947024327396e-27
"Actr3",1.28580635360057e-123,-9.61092101085703,0.269,0.725,1.92588075642293e-119
"Gm6377",2.37460739559068e-51,-9.60591058365989,0.439,0.447,3.55668695711573e-47
"Tspan2os",4.60519306799832e-07,9.59523650748145,0.165,0.073,0.00689765817724789
"Rgs7",7.88900349971733e-121,9.59516383925288,0.373,0.018,1.18161494418766e-116
"B4galnt1",5.98840717620703e-145,-9.59480660087265,0.052,0.478,8.96943626852288e-141
"Gm32817",1.94017407255204e-70,9.59105619970882,0.334,0.05,2.90599272586844e-66
"Xdh",1.23988070943632e-176,-9.58767261973404,0.032,0.529,1.85709332659371e-172
"Hhex",8.66773394852633e-167,-9.57859559981708,0.066,0.513,1.29825319081027e-162
"2310015D24Rik",1.8519563856136e-66,9.57561535503737,0.183,0.01,2.77386027437205e-62
"Mypop",4.12665281800547e-55,9.57522910655339,0.234,0.042,6.18090059080859e-51
"Nrg2",1.05442061867477e-91,-9.57401239574802,0.037,0.38,1.57931120265107e-87
"Olfml2a",2.21461897902598e-54,9.57369024977976,0.223,0.018,3.31705630678512e-50
"Kif14",1.07469305316349e-64,-9.57064133795806,0.139,0.416,1.60967525502828e-60
"Isg15",7.33020301824521e-136,-9.57047544624016,0.043,0.459,1.09791780807277e-131
"Arpc4",5.71601163766104e-128,-9.56771818547106,0.116,0.622,8.5614422308887e-124
"Oas1c",0.00255131219488467,-9.55873953615873,0.347,0.328,1
"Ptprcap",1.1113395076982e-40,-9.55427866065123,0.012,0.13,1.66456431463036e-36
"Ighm",3.36110011834341e-239,-9.55291637692547,0.077,0.728,5.03425575725476e-235
"Lilr4b",8.12691549677741e-240,-9.55185199208451,0.059,0.639,1.21724940310732e-235
"Unc5a",5.12968076872332e-168,-9.55108105738521,0.01,0.434,7.68323585539378e-164
"Dclk1",0.000972189994669267,9.54402826266194,0.114,0.057,1
"Atp13a2",3.93295679313709e-150,-9.54367527433607,0.242,0.728,5.89078268476074e-146
"Vbp1",5.03595079004167e-13,-9.54032606916468,0.105,0.3,7.54284709332442e-09
"Ptprg",1.32506081339664e-55,9.53990582083394,0.264,0.043,1.98467608630549e-51
"Vopp1",1.54954852386293e-37,-9.53173305046486,0.061,0.277,2.3209137790419e-33
"Trim14",2.31768059947826e-93,-9.52893794024046,0.218,0.502,3.47142200189854e-89
"Evc",3.58256521746021e-83,9.52765071368341,0.243,0.02,5.3659661827119e-79
"Tax1bp1",0.0909499243717768,-9.52616448321867,0.27,0.376,1
"Cep55",7.1181699565252e-77,-9.52470457157866,0.016,0.292,1.06615949608834e-72
"Pim1",3.09673291853006e-158,-9.51702827769238,0.061,0.574,4.63828656537433e-154
"Map3k11",9.15241428327641e-187,-9.51658756132168,0.09,0.608,1.37084861134914e-182
"Cd55",8.26130075358404e-71,-9.50821113488786,0.032,0.317,1.23737762687182e-66
"Rad51ap2",8.66176756258723e-93,9.50391710808845,0.361,0.062,1.29735954552432e-88
"A630001G21Rik",2.52982560378907e-244,-9.49005664235591,0.03,0.528,3.78917278935527e-240
"Slc6a7",1.89344435727107e-213,9.4755926699603,0.547,0.029,2.83600095832061e-209
"Gm5127",3.20539240197865e-33,-9.47382805864695,0.037,0.239,4.80103673968362e-29
"Arhgef3",7.16206163429316e-84,-9.46753231141731,0.094,0.469,1.07273359158443e-79
"Fgd2",4.04993269817424e-253,-9.46583652715614,0.016,0.602,6.06598919532538e-249
"Rnf213",1.98609479187956e-149,-9.46338520267363,0.061,0.551,2.9747727792772e-145
"Pstpip2",9.33668497187002e-138,-9.45220201733841,0.087,0.562,1.39844867508669e-133
"2010109A12Rik",3.77057819751729e-08,-9.4485519917723,0.227,0.167,0.000564757202424139
"Grap2",9.21795399053723e-37,-9.44570581257436,0.016,0.154,1.38066514870267e-32
"2410006H16Rik",1.19187444521294e-55,-9.43883144700825,0.073,0.386,1.78518954403995e-51
"9930012K11Rik",3.58327662541322e-159,-9.43585553864726,0.068,0.483,5.36703172954393e-155
"Prdx6",7.6703373697633e-22,-9.4335759465071,0.157,0.368,1.14886313124315e-17
"Arl4c",3.34877069910838e-44,-9.43275050386597,0.141,0.385,5.01578875312453e-40
"Anpep",1.02829542492543e-24,-9.42912536896055,0.048,0.163,1.54018088745331e-20
"Cdk14",9.76363645589724e-41,-9.42667815501761,0.194,0.405,1.46239746836429e-36
"Pou2f2",0,-9.42196660608753,0.064,0.773,0
"Itga4",3.26908441250661e-290,-9.4117674783391,0.028,0.701,4.8964346330524e-286
"Hoxb3os",1.92086893172174e-113,9.41168499677169,0.334,0.019,2.87707748593282e-109
"Gm10138",1.73444242789158e-79,-9.40807835253644,0.152,0.454,2.597847868496e-75
"Hs6st1",3.20950731888119e-53,-9.40041707637281,0.222,0.508,4.80720006222025e-49
"Rgs18",6.32567592365284e-195,-9.39922423579772,0.011,0.497,9.47459739844723e-191
"Gsr",5.81126814834977e-18,-9.3952676286656,0.115,0.248,8.70411743259828e-14
"Mylk2",7.75932032295114e-07,9.39057434699306,0.314,0.181,0.0116219099797162
"Rara",1.65245271487389e-68,-9.38839734983762,0.056,0.367,2.47504367633811e-64
"Ier5",1.48865292167597e-111,-9.38115084993306,0.115,0.599,2.22970434608627e-107
"Lrrc10b",1.43218576310003e-19,9.3801609026206,0.171,0.051,2.14512783597123e-15
"P2ry14",1.8107298663341e-08,-9.37948477393685,0.379,0.435,0.000271211119379521
"Zfp202",2.16679331930063e-15,-9.37498061902718,0.189,0.422,3.24542303364848e-11
"Krt79",0.00911126976922946,-9.37069277378779,0.09,0.111,1
"Gm49041",4.6114611381118e-33,-9.37027259625458,0.194,0.257,6.90704649266385e-29
"Frg1",2.24033411296294e-39,-9.37001834071442,0.092,0.367,3.35557243439589e-35
"Zfp984",7.47030798456258e-70,-9.36863855442858,0.115,0.451,1.11890272992778e-65
"Irx2",1.01336425995112e-23,9.36408357025179,0.18,0.09,1.51781698855479e-19
"Igf1",5.5709435845882e-120,-9.36395796493956,0.053,0.456,8.34415930099621e-116
"Gbp2b",1.9045766473529e-152,-9.36338575103688,0.067,0.555,2.85267490240517e-148
"4921531C22Rik",4.3780687199597e-09,-9.35904785913619,0.227,0.345,6.55747132875564e-05
"Cela1",2.61315276348525e-15,-9.35740413788565,0.318,0.269,3.9139802091482e-11
"Baz1a",2.27001518796319e-147,-9.35289584060465,0.064,0.562,3.40002874853127e-143
"Tlr1",1.71405324851387e-106,-9.35246681925829,0.021,0.383,2.56730895562407e-102
"Pip4k2a",1.22078754242861e-118,-9.34722318888341,0.124,0.588,1.82849558104957e-114
"Plxnd1",1.68324019380931e-111,-9.33794892448421,0.051,0.471,2.52115716228758e-107
"Kat6b",8.1240075050573e-63,9.33666267649832,0.387,0.117,1.21681384410748e-58
"Chaf1a",5.03853189923159e-20,-9.33639219869446,0.067,0.223,7.54671307866907e-16
"Ulbp1",3.68738842101648e-97,-9.32970430674,0.061,0.442,5.52297037699849e-93
"Mcm7",2.19533901889119e-30,-9.32087457389457,0.124,0.319,3.28817878249523e-26
"Glt28d2",5.65225251819632e-32,9.3198129445688,0.191,0.046,8.46594382175445e-28
"Stxbp2",1.96779700130563e-278,-9.3127391703819,0.064,0.69,2.94736634855558e-274
"Gm9920",2.04432998932949e-31,-9.31141999854363,0.037,0.243,3.06199745801772e-27
"Cd36",7.90198955111834e-218,-9.30536345675541,0.025,0.584,1.18355999496651e-213
"Iglc2",0.155234266539022,-9.30525558906355,0.134,0.13,1
"Sell",1.13415687529145e-87,-9.29759158698067,0.014,0.292,1.69874016781154e-83
"Xirp1",9.2648961435585e-71,9.29339657370804,0.212,0.031,1.38769614438219e-66
"Glis2",7.6078073137266e-75,9.29016737412229,0.369,0.048,1.13949737944997e-70
"Gm26620",5.78203307307274e-12,9.28930444606213,0.142,0.073,8.66032913684835e-08
"Knstrn",1.69788875512335e-95,-9.28295610401341,0.083,0.427,2.54309777742375e-91
"Arhgap15",0,-9.28216803191679,0.013,0.69,0
"Kit",1.44890599223819e-08,-9.28200844655709,0.143,0.177,0.000217017139517436
"Ly6c2",2.91738107801398e-25,-9.28177140938985,0.245,0.321,4.36965337864933e-21
"Inpp5d",0,-9.28033374941572,0.015,0.737,0
"Echdc2",1.11751103414432e-30,9.27902007157189,0.194,0.049,1.67380802694136e-26
"Btla",7.71925994364092e-22,-9.2762530059401,0.067,0.193,1.15619075435854e-17
"Arap1",2.44163588883981e-189,-9.27257975813485,0.11,0.669,3.65708223430427e-185
"Cdca2",1.1433140664964e-06,-9.25806388679837,0.065,0.2,0.0171245580879831
"Tjp3",2.60693672518664e-53,-9.25759826075822,0.465,0.573,3.90466982698456e-49
"Bhlhe41",9.69425267287601e-176,9.25612964122673,0.474,0.02,1.45200516534337e-171
"Zeb2os",1.54878715846535e-96,-9.2502257501645,0.151,0.512,2.3197734059494e-92
"Mcm4",0.000150601604423537,-9.24818499428178,0.083,0.152,1
"Zbtb32",3.52008843654768e-20,-9.24416693646431,0.249,0.371,5.27238846026111e-16
"Fam111a",6.81256003606606e-286,-9.23987905797995,0.02,0.675,1.02038524220197e-281
"Mpz",3.14100721923768e-08,9.22747091608333,0.558,0.315,0.000470460061297419
"Camk1d",1.16676885128076e-170,-9.22552792560166,0.14,0.679,1.74758638544832e-166
"Hist1h4i",5.95385886615239e-139,-9.22110309382975,0.054,0.499,8.91768980972305e-135
"Dlgap1",2.89025921886692e-70,9.21427131934743,0.254,0.02,4.32903025801887e-66
"H2-M3",1.88756375994794e-254,-9.21407941812929,0.025,0.608,2.82719299965002e-250
"Lyz1",9.7476496707773e-167,-9.20400447368905,0.13,0.607,1.46000296768902e-162
"Pigz",5.51200352864536e-29,-9.20393027603886,0.175,0.365,8.25587888520501e-25
"Nmb",1.15018998892917e-18,-9.20118010219515,0.377,0.279,1.72275456541811e-14
"Nhp2",5.55054876715816e-84,-9.20058116614276,0.066,0.42,8.31361194344949e-80
"Ptprz1",3.75903442556868e-207,9.19684673204873,0.508,0.032,5.63028176261677e-203
"Zfp449",4.28464301706692e-10,9.19085282480232,0.182,0.099,6.41753831096283e-06
"Cdnf",4.63323151139068e-110,9.18613468667193,0.329,0.027,6.93965415776096e-106
"Thsd1",2.70510566601726e-40,-9.18251613996125,0.007,0.152,4.05170726656064e-36
"Rasl10b",2.1408855339013e-07,9.18097428986333,0.158,0.094,0.00320661835267737
"Gsap",2.17696778923043e-37,-9.1782520149593,0.346,0.463,3.26066235470934e-33
"Dbf4",1.02044180550665e-18,-9.17822701559975,0.135,0.269,1.52841773628786e-14
"Pip5k1b",3.08488076027199e-96,9.17815000489172,0.309,0.016,4.62053440273538e-92
"Id2",1.18107015101272e-19,-9.16926269173418,0.23,0.221,1.76900687218685e-15
"Tmem267",3.8469438196314e-44,-9.16716619579285,0.425,0.148,5.76195245304392e-40
"H2-Ob",1.23082731954834e-148,-9.16627962549507,0.014,0.404,1.8435331592195e-144
"Cdiptos",3.0319081253339e-12,-9.16469500386384,0.122,0.224,4.54119199012512e-08
"Lpcat2",8.73055779603831e-99,-9.16410000976657,0.105,0.445,1.30766294669062e-94
"Birc3",4.83439524671177e-88,-9.16331878990225,0.143,0.524,7.24095720052489e-84
"Rgs4",1.37132363365386e-60,9.16307162237069,0.167,0.023,2.05396853848675e-56
"Tspan14",8.06680793278631e-90,-9.16225468249982,0.11,0.475,1.20824649217273e-85
"Gm17634",4.66330993286371e-11,-9.16071589804364,0.09,0.139,6.98470561744326e-07
"Tulp1",3.8201338740251e-90,9.15938088856797,0.212,0.006,5.7217965165148e-86
"Rassf9",1.05593279580923e-24,9.1517439123105,0.145,0.008,1.58157614156306e-20
"Ngfr",0.0103943517714638,-9.15148070081204,0.325,0.283,1
"Btk",1.59523192515618e-208,-9.13943176314776,0.023,0.546,2.38933837749893e-204
"Hoxaas2",7.26250803674779e-58,9.13480264890091,0.198,0.016,1.08777845374408e-53
"P2rx5",7.60894751308703e-94,9.13373303202922,0.372,0.048,1.13966815851018e-89
"Parp10",2.01337774318152e-32,-9.13069246515135,0.127,0.365,3.01563718373728e-28
"Rhobtb2",2.74830740814359e-105,9.12634298636497,0.435,0.069,4.11641483591747e-101
"Tns4",4.76668066436294e-104,-9.11829909445295,0.064,0.442,7.13953429908281e-100
"Fam78a",1.33412084986437e-194,-9.112884432586,0.043,0.535,1.99824620892686e-190
"Tgif2",2.69615719761828e-06,-9.11264661759484,0.181,0.185,0.0403830425059266
"Smim24",7.4899224383695e-23,-9.11004096768562,0.057,0.191,1.12184058281898e-18
"Slc20a1",4.02566035669186e-25,-9.1092954454137,0.278,0.454,6.02963408225306e-21
"Hmgb2",4.97965162710061e-179,-9.10558468976397,0.038,0.571,7.45852220707129e-175
"Cd38",2.00239094590972e-109,-9.10062093026115,0.011,0.312,2.99918115878358e-105
"Zcchc3",1.75530068334693e-24,9.09796482021358,0.151,0.028,2.62908936351703e-20
"Rubcnl",3.01842336327523e-147,-9.09668010276083,0.015,0.422,4.52099451351364e-143
"Irf1",2.71956196922839e-123,-9.09661705631746,0.071,0.537,4.07335991751028e-119
"Lyl1",3.26448751968358e-104,-9.08688682860043,0.066,0.487,4.88954940698207e-100
"Spdl1",2.98825247350682e-52,-9.08135205530584,0.09,0.363,4.47580455481851e-48
"Cln8",6.27791843780526e-68,-9.0776969313911,0.122,0.474,9.40306623614471e-64
"Sgpl1",3.97105253878997e-122,-9.05506047774925,0.13,0.62,5.94784249259962e-118
"Glipr2",7.83289607136243e-53,-9.05041722344929,0.093,0.333,1.17321117356866e-48
"Sbk1",1.76928195923172e-10,-9.05017777777073,0.292,0.378,2.65003051853727e-06
"Gclm",2.39201025361068e-05,-9.04139275409762,0.12,0.193,0.358275295785808
"Slc2a3",1.61862292325794e-27,-9.04065073480566,0.317,0.288,2.42437341445574e-23
"Slco2b1",2.049023316832e-185,-9.04005352690841,0.022,0.468,3.06902712395096e-181
"Suv39h2",1.48624817404035e-12,-9.03538725656309,0.08,0.249,2.22610251507763e-08
"Fbxo40",8.04608294709517e-143,9.03092263619889,0.498,0.046,1.20514230381591e-138
"Il18bp",1.71456238793914e-90,-9.02399074370174,0.482,0.138,2.56807154465525e-86
"Fam107b",1.81159103859409e-46,-9.02090261478329,0.026,0.235,2.71340105760622e-42
"Ndufa6",1.45613809923424e-22,-9.02014860052121,0.181,0.338,2.18100364503304e-18
"E130102H24Rik",1.64102462002956e-139,9.01701995663713,0.584,0.137,2.45792667588028e-135
"Dtx4",1.16186739238625e-78,-9.00743653121076,0.139,0.4,1.74024498031613e-74
"Vgll2",6.72193102938219e-44,9.00656239417306,0.132,0.02,1.00681082958086e-39
"Npas4",9.02153678806565e-211,9.00647170235581,0.606,0.072,1.35124578011647e-206
"Fzd3",3.48172436217288e-80,9.00292327023354,0.316,0.036,5.21492674966253e-76
"Slc46a3",2.19948477105367e-40,-8.98997382529458,0.166,0.393,3.29438829008419e-36
"Golgb1",2.61996824872038e-92,8.98128610310146,0.451,0.14,3.92418844293338e-88
"Mcm2",4.54631578405647e-92,-8.97638793522218,0.092,0.482,6.80947178135978e-88
"Fbxl5",4.02578461076869e-14,-8.97547077666905,0.416,0.393,6.02982019000934e-10
"Tpd52",2.04600850094224e-128,-8.9699888112148,0.141,0.635,3.06451153271128e-124
"Ica1l",1.57126622976701e-10,-8.96650553068061,0.066,0.236,2.35344255894502e-06
"Aprt",7.82003476680006e-31,-8.9657234480176,0.1,0.379,1.17128480737131e-26
"Mospd3",2.67572809681537e-177,-8.96553001267556,0.045,0.493,4.00770554341006e-173
"Selplg",0,-8.96527281068344,0.012,0.823,0
"Scp2",9.41048197450932e-16,-8.96422271458538,0.223,0.401,1.40950199014201e-11
"I830077J02Rik",3.04682389811908e-51,-8.95633107504774,0.122,0.342,4.56353283460277e-47
"Plxna2",5.73516241026348e-40,8.95593752922816,0.195,0.029,8.59012625809264e-36
"Pctp",4.35496504765686e-64,-8.93604531137258,0.137,0.426,6.52286664838044e-60
"Zfp112",8.52363590852527e-111,8.93528749822036,0.414,0.042,1.27667018637891e-106
"Txnip",3.65457147096821e-61,-8.93287866167118,0.174,0.479,5.47381714921618e-57
"Gga2",2.6305138555183e-36,8.9322710567487,0.187,0.078,3.93998365279531e-32
"1110046J04Rik",5.49129076942971e-46,8.93173490234914,0.194,0.037,8.22485531445182e-42
"Tut7",2.65393932066347e-59,-8.92539708893063,0.235,0.573,3.97507031448975e-55
"Itm2c",2.02814066886583e-12,-8.92502604567668,0.204,0.393,3.03774909382724e-08
"Npr2",1.17472904892326e-37,8.92180908576379,0.229,0.053,1.75950916947726e-33
"A130051J06Rik",1.89715586980331e-05,-8.9217849842857,0.27,0.291,0.28415600617914
"Zfp607b",2.13896722266542e-140,8.92011117826516,0.371,0.028,3.20374510610827e-136
"Cacna1f",1.2351564098802e-242,-8.9162517447649,0.004,0.528,1.85001727071857e-238
"Gsdmd",1.48868247627509e-90,-8.9149972291511,0.025,0.331,2.22974861296482e-86
"Gm43111",4.38040986416338e-17,-8.91298103638757,0.396,0.412,6.56097789454391e-13
"4933412E12Rik",5.19999049559574e-49,-8.91068753590598,0.074,0.263,7.78854576430329e-45
"Cited4",3.78489524070084e-23,-8.91035121827218,0.033,0.14,5.66901609152171e-19
"Inka1",8.99505048834866e-22,-8.90875186930556,0.057,0.167,1.34727866214486e-17
"Me2",1.54476802941045e-52,-8.90490434097401,0.076,0.391,2.31375355445097e-48
"Dbp",1.16494191840116e-16,8.90139597710318,0.13,0.088,1.74485000538126e-12
"Abca1",1.29049778657405e-58,-8.90103975509343,0.098,0.418,1.93290758473061e-54
"C4b",7.45831972220733e-110,-8.90042230491125,0.066,0.426,1.11710712799221e-105
"Gm39556",4.21287007090067e-67,-8.89932690071302,0.32,0.546,6.31003679219502e-63
"Etv3",4.81019317797482e-108,-8.89788458070916,0.114,0.593,7.20470734197069e-104
"Usb1",9.21220716497544e-08,-8.89577349220228,0.168,0.173,0.00137980438917002
"Prelid2",1.98252652921312e-13,-8.89484002921844,0.161,0.28,2.96942823545541e-09
"Sik1",4.18549578933335e-183,-8.89215133575557,0.045,0.52,6.26903559326348e-179
"Reep1",1.46092777153565e-83,8.89148504484953,0.288,0.039,2.18817761620609e-79
"Bak1",9.02103030377464e-63,-8.88979501040108,0.107,0.457,1.35116991889937e-58
"Ntpcr",1.48182293909515e-184,-8.88689241558074,0.037,0.53,2.21947439817671e-180
"Gm15675",6.83127389467791e-23,-8.8805561669538,0.09,0.263,1.02318820394486e-18
"Eid3",2.02388194511853e-38,-8.87599385510787,0.233,0.442,3.03137037739853e-34
"Fem1c",1.95006094588046e-46,-8.87367323138293,0.212,0.52,2.92080128473975e-42
"Gbp2",9.73290535570469e-117,-8.87015204432364,0.023,0.311,1.45779456417745e-112
"Gm6213",2.20948628947894e-113,-8.86196712443478,0.036,0.377,3.30936856438155e-109
"Eif4a2",3.32383664457082e-18,8.85960219889958,0.358,0.224,4.97844252623818e-14
"C030006K11Rik",7.23923507877915e-12,8.85875061024301,0.116,0.036,1.08429263009954e-07
"Sh3bp2",7.81821681177322e-110,-8.85322845130861,0.163,0.559,1.17101251406739e-105
"Mtdh",3.8015861415571e-37,8.84988663908814,0.444,0.266,5.69401572282422e-33
"Cd109",2.22522876457032e-32,8.8496613005529,0.14,0.046,3.33294764357342e-28
"Cracr2a",2.90414646918316e-08,-8.84936577720356,0.085,0.209,0.000434983058154254
"Lrch4",3.55209787397141e-57,-8.8464211287746,0.19,0.496,5.32033219563437e-53
"Tgm1",8.53267391748169e-178,-8.84142465979011,0.004,0.421,1.27802389936041e-173
"Depdc7",3.26178728057213e-31,-8.84119213723041,0.115,0.352,4.88550498884094e-27
"Eva1c",2.52048072954447e-37,8.83827904952068,0.13,0.025,3.77517603671171e-33
"Adam11",2.07040026070593e-85,8.83425896167805,0.398,0.063,3.10104551048534e-81
"Stox2",1.0795672451369e-136,8.83309446107622,0.394,0.052,1.61697581976605e-132
"Ptn",1.92365782089103e-17,8.82652180661925,0.16,0.03,2.88125468413058e-13
"Retnla",4.96276696570695e-229,-8.82122131531274,0.217,0.737,7.43323236123588e-225
"Wwp1",2.71124110272482e-90,-8.81149302226142,0.151,0.552,4.06089692366124e-86
"Piezo1",1.02356041585921e-184,-8.80941356240997,0.036,0.55,1.53308879087393e-180
"Alpk1",7.10339280027552e-19,-8.80844846811481,0.418,0.414,1.06394617362527e-14
"Pot1b",3.03080311747045e-17,-8.8075350731883,0.397,0.43,4.53953690934724e-13
"Ppm1e",8.07461615324478e-58,8.80569280645704,0.235,0.037,1.209416007433e-53
"Pole2",2.01370853336522e-30,-8.80536693811205,0.212,0.4,3.01613264127443e-26
"Cln3",9.53749838322613e-50,-8.80356202233413,0.352,0.54,1.42852650783961e-45
"C130050O18Rik",6.41231333777423e-68,-8.79524153790156,0.122,0.432,9.60436291731824e-64
"Calml4",1.12137893782005e-18,-8.79486468220834,0.093,0.162,1.67960137306687e-14
"Tmem178b",6.79792687405171e-30,-8.79397633258337,0.161,0.101,1.01819348719546e-25
"Kcng2",8.74296705218269e-136,-8.79238194968908,0.054,0.503,1.30952160507592e-131
"Apcdd1",8.0309642317336e-97,8.78811503409926,0.339,0.05,1.20287782262906e-92
